CaseID,Duration,B2,B7_a,B7_b,D1A,D1E,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h
32,1570,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
33,1600,doing okay,good,good,yes,yes,yes,no,no,no,no,no,no,no
34,1115,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
35,1091,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
36,1327,doing okay,only fair,good,yes,no,no,no,yes,no,no,no,no,no
37,1541,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
38,776,just getting by,good,only fair,yes,no,,,,,,,,
39,733,doing okay,good,only fair,yes,no,no,no,yes,no,no,no,no,no
40,1390,living comfortably,excellent,good,no,no,no,no,yes,no,no,no,no,no
41,1015,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
42,814,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
43,678,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
44,2041,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
45,1154,just getting by,good,good,yes,yes,no,no,yes,no,no,no,no,no
46,468,doing okay,good,only fair,yes,no,no,no,yes,no,no,no,no,no
47,1033,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
48,2532,living comfortably,only fair,only fair,no,yes,yes,no,no,no,no,no,no,no
49,808,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
50,1651,doing okay,good,good,no,yes,yes,no,no,no,no,no,no,no
51,3464,living comfortably,good,good,yes,no,,,,,,,,
52,1292,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
53,1174,doing okay,good,good,yes,yes,no,no,yes,no,no,no,no,no
54,828,just getting by,excellent,good,no,no,no,no,yes,no,no,no,no,no
55,774,doing okay,only fair,poor,yes,no,yes,no,no,no,no,no,no,no
56,2745,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
57,1225,living comfortably,excellent,good,no,no,no,no,yes,no,no,no,no,no
58,2530,finding it difficult to get by,only fair,only fair,yes,yes,no,no,no,no,yes,no,no,no
59,1092,doing okay,only fair,good,yes,no,yes,no,yes,no,no,no,no,no
60,168014,doing okay,good,good,yes,no,no,yes,no,no,no,no,no,no
61,1999,doing okay,good,only fair,no,no,yes,yes,yes,yes,no,no,no,no
62,1869,just getting by,good,good,no,yes,no,no,yes,no,no,no,no,yes
63,865,living comfortably,only fair,good,no,no,no,no,yes,no,no,no,no,no
64,950,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
65,996,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
66,1283,just getting by,only fair,only fair,yes,yes,no,yes,no,no,no,no,no,no
67,776,just getting by,good,poor,yes,yes,no,yes,no,no,no,no,no,no
68,804,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
69,781,living comfortably,good,poor,yes,no,no,no,yes,no,no,no,no,no
70,906,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
71,1171,just getting by,poor,poor,no,no,no,no,no,no,no,no,no,yes
72,701,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
73,1036,living comfortably,excellent,good,yes,no,no,yes,no,no,no,no,no,no
74,1406,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
75,989,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
76,1888,living comfortably,excellent,only fair,yes,no,yes,no,no,no,no,no,no,no
77,810,living comfortably,only fair,only fair,yes,no,no,yes,no,no,no,no,no,no
78,757,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
79,885,living comfortably,good,good,yes,yes,no,no,yes,no,no,no,no,no
80,1805,doing okay,good,only fair,no,no,no,yes,no,no,no,no,no,no
81,849,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
82,739,doing okay,poor,only fair,no,no,yes,yes,yes,no,no,no,no,no
83,1600,finding it difficult to get by,only fair,poor,no,yes,no,no,no,no,no,no,no,yes
84,1541,doing okay,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
85,1312,living comfortably,excellent,good,yes,no,no,no,yes,no,no,no,no,no
86,653,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
87,1044,doing okay,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
88,3107,just getting by,only fair,poor,no,yes,no,no,yes,no,no,no,no,no
89,1362,just getting by,excellent,good,no,no,no,yes,yes,no,yes,no,no,no
90,1575,doing okay,only fair,poor,yes,yes,no,no,yes,no,no,no,no,no
91,1445,living comfortably,excellent,good,no,no,no,no,yes,no,no,no,no,no
92,85956,doing okay,good,only fair,no,yes,no,no,no,no,yes,no,no,no
93,1863,doing okay,only fair,only fair,yes,no,no,no,no,no,no,no,yes,yes
94,713,doing okay,good,good,yes,yes,no,no,no,no,no,no,no,yes
95,1480,doing okay,only fair,poor,yes,no,yes,no,no,no,no,no,no,no
96,738,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
97,905,doing okay,poor,poor,no,yes,yes,no,no,no,no,no,no,no
98,653,just getting by,poor,poor,no,yes,no,yes,no,no,no,no,no,no
99,2367,living comfortably,excellent,excellent,yes,no,yes,no,no,no,no,no,no,no
100,770,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
101,1214,living comfortably,good,only fair,yes,no,yes,no,no,no,no,no,no,no
102,1127,doing okay,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
103,1195,just getting by,good,only fair,yes,no,no,no,yes,no,no,no,no,no
104,1174,living comfortably,good,excellent,no,no,yes,no,yes,no,no,no,no,no
105,1132,just getting by,only fair,poor,no,no,no,yes,no,no,no,no,no,no
106,678,doing okay,excellent,good,yes,no,no,no,yes,no,no,no,no,no
107,856,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
108,1229,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
109,1514,living comfortably,excellent,excellent,no,yes,no,no,yes,no,no,no,no,no
110,740,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
111,2638,just getting by,good,good,yes,no,no,no,yes,no,no,no,no,no
112,1093,doing okay,only fair,poor,no,no,no,no,yes,no,no,no,no,no
113,887,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
114,1085,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
115,727,living comfortably,excellent,excellent,yes,no,yes,no,no,no,no,no,no,no
116,1116,living comfortably,good,good,no,yes,yes,no,no,no,no,no,no,no
117,913,living comfortably,excellent,only fair,yes,no,yes,no,no,no,no,no,no,no
118,1568,doing okay,good,good,yes,yes,no,yes,no,no,no,no,no,no
119,1474,doing okay,good,only fair,yes,no,no,no,yes,no,no,no,no,no
120,2584,doing okay,good,only fair,yes,no,yes,no,no,no,no,no,no,no
121,1283,just getting by,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
122,836,doing okay,good,excellent,no,yes,no,no,no,no,no,no,no,yes
123,930,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
124,59329,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
125,818,living comfortably,excellent,good,yes,no,no,no,yes,no,no,no,no,no
126,662,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
127,987,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
128,776,living comfortably,good,good,yes,no,no,no,no,yes,no,no,no,no
129,511,doing okay,good,good,yes,yes,no,no,no,yes,no,no,no,no
130,1160,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
131,419776,finding it difficult to get by,only fair,only fair,yes,yes,yes,yes,yes,no,no,no,no,no
132,1180,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
133,963,doing okay,only fair,poor,yes,no,no,no,yes,no,no,no,no,no
134,1354,just getting by,only fair,only fair,no,no,no,no,no,no,no,no,no,yes
135,810,living comfortably,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
136,1665,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
137,4491,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
138,883,doing okay,good,good,no,no,no,yes,no,no,no,no,no,no
139,697,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
140,1282,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
141,1320,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
142,707,living comfortably,excellent,excellent,yes,no,yes,no,yes,no,no,no,no,no
143,1448,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
144,2708,just getting by,only fair,only fair,yes,yes,no,yes,no,no,yes,no,no,no
145,843,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
146,4266,just getting by,only fair,poor,yes,no,no,no,no,no,yes,no,yes,no
147,826,finding it difficult to get by,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
148,3672,just getting by,only fair,only fair,yes,yes,no,yes,no,no,no,no,no,no
149,545,living comfortably,good,only fair,yes,yes,yes,no,no,no,no,no,no,no
150,851,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
151,2017,just getting by,only fair,poor,yes,no,no,yes,no,no,no,no,no,no
152,566,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
153,640,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
154,1067,doing okay,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
155,1417,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
156,1487,doing okay,only fair,only fair,yes,no,no,yes,no,yes,yes,no,no,no
157,701,doing okay,good,only fair,yes,no,,,,,,,,
158,44553,just getting by,excellent,excellent,yes,no,yes,no,no,no,no,no,no,no
159,1350,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
160,541,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
161,1148,doing okay,good,only fair,no,no,yes,no,yes,no,no,no,no,no
162,1336,living comfortably,excellent,only fair,yes,no,yes,no,no,no,no,no,no,no
163,1299,living comfortably,good,poor,no,yes,yes,no,no,no,no,no,no,no
164,1290,just getting by,good,only fair,no,yes,no,no,no,no,no,no,no,yes
165,951,living comfortably,poor,poor,yes,no,no,yes,no,no,no,no,no,no
166,1025,doing okay,good,good,yes,no,yes,no,yes,no,no,no,no,no
167,902,just getting by,,,yes,no,,,,,,,,
168,1761,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
169,881,doing okay,poor,good,yes,yes,no,no,yes,no,no,no,no,no
170,350278,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
171,850,living comfortably,only fair,poor,yes,yes,no,no,yes,no,no,no,no,no
172,2214,just getting by,poor,poor,yes,no,no,no,yes,no,no,no,no,no
173,789,just getting by,good,good,yes,no,no,yes,no,no,no,no,no,no
174,1715,living comfortably,excellent,good,no,yes,no,no,yes,no,no,no,no,no
175,2389,just getting by,only fair,good,no,yes,no,no,no,no,no,no,no,yes
176,946,doing okay,good,only fair,no,no,no,no,yes,no,no,no,no,no
177,2197,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
178,2205,doing okay,only fair,good,yes,no,yes,no,no,no,no,no,no,no
179,742,doing okay,only fair,only fair,yes,yes,no,no,no,no,no,no,no,yes
180,1472,doing okay,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
181,1506,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
182,1404,living comfortably,good,only fair,yes,no,yes,no,no,no,no,no,no,no
183,1359,doing okay,good,good,yes,yes,yes,no,yes,no,no,no,no,no
184,1115,living comfortably,good,only fair,yes,no,yes,no,no,no,no,no,no,no
185,812,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
186,569,doing okay,good,good,no,yes,yes,no,no,no,no,no,no,no
187,1505,living comfortably,good,good,no,no,yes,yes,yes,yes,no,no,no,no
188,1739,living comfortably,good,poor,yes,yes,yes,yes,yes,yes,no,no,no,no
189,846,doing okay,good,good,no,no,yes,no,yes,no,no,no,no,no
190,6967,living comfortably,excellent,only fair,no,no,no,no,yes,no,no,no,no,no
191,806,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
192,1236,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
193,1043,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
194,7673,living comfortably,good,good,yes,yes,no,no,yes,no,no,no,no,no
195,628,just getting by,good,good,yes,no,no,no,yes,no,no,no,no,no
196,1075,finding it difficult to get by,only fair,only fair,yes,yes,no,no,no,no,no,no,no,yes
197,1084,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
198,1018,doing okay,good,good,yes,yes,yes,yes,yes,no,no,no,no,no
199,1010,finding it difficult to get by,only fair,only fair,yes,yes,no,yes,no,no,no,no,yes,no
200,2722,doing okay,good,good,yes,no,no,no,no,no,no,no,no,yes
201,2199,doing okay,good,only fair,yes,no,no,no,yes,no,no,no,no,no
202,1765,doing okay,good,only fair,yes,no,no,yes,yes,no,no,no,no,no
203,555,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
204,755,living comfortably,good,only fair,yes,yes,no,no,yes,no,no,no,no,no
205,822,living comfortably,good,excellent,no,no,yes,no,no,no,no,no,no,no
206,520,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
207,832,just getting by,only fair,only fair,no,no,no,no,no,no,no,no,no,yes
208,1170,finding it difficult to get by,good,poor,no,no,no,yes,no,no,no,no,no,no
209,922,doing okay,only fair,only fair,yes,yes,yes,no,no,no,no,no,no,no
210,442,doing okay,only fair,only fair,yes,no,no,no,no,no,yes,no,no,no
211,663,doing okay,good,only fair,no,no,no,no,yes,no,no,no,no,no
212,6438,living comfortably,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
213,1072,finding it difficult to get by,only fair,good,yes,no,no,no,no,no,yes,no,yes,no
214,836,doing okay,good,good,yes,no,no,yes,no,yes,yes,no,no,no
215,1003,doing okay,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
216,708,just getting by,only fair,poor,yes,yes,no,yes,no,no,yes,no,no,yes
217,1022,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
218,609,doing okay,only fair,only fair,no,no,no,yes,no,no,no,no,no,no
219,826,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
220,1171,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
221,1120,living comfortably,excellent,good,yes,no,yes,no,no,no,no,no,no,no
222,1004,living comfortably,poor,only fair,no,no,yes,no,yes,no,no,no,no,no
223,1008,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
224,3509,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
225,968,living comfortably,good,poor,yes,no,yes,no,no,no,no,no,no,no
226,3523,living comfortably,good,good,no,no,yes,no,yes,no,no,no,no,no
227,529,just getting by,only fair,only fair,yes,yes,no,no,no,no,yes,no,no,no
228,750,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
229,957,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
230,769,finding it difficult to get by,good,good,yes,no,no,yes,no,no,no,no,no,yes
231,6397,living comfortably,good,excellent,yes,no,no,no,no,yes,no,no,no,no
232,746,living comfortably,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
233,1076,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
234,2937,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
236,1053,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
237,675,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
238,4555,just getting by,good,good,no,no,yes,no,no,no,no,no,no,no
239,855,doing okay,good,good,no,no,no,yes,no,no,no,no,no,no
240,1066,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
241,1837,doing okay,only fair,only fair,no,no,yes,no,yes,no,no,no,no,no
242,1139,just getting by,good,good,no,yes,no,no,no,no,yes,no,no,no
243,812,doing okay,only fair,,yes,no,no,no,yes,no,no,no,no,no
244,1197,doing okay,good,good,no,yes,yes,no,no,no,no,no,no,no
245,793,just getting by,poor,good,yes,yes,no,no,yes,no,no,no,no,no
246,839,doing okay,only fair,only fair,yes,no,yes,no,no,yes,no,no,no,no
247,734,doing okay,good,excellent,yes,no,yes,no,no,no,no,no,no,no
248,1598,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
249,3499,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
250,1761,finding it difficult to get by,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
251,902,just getting by,good,good,yes,no,no,no,yes,no,no,no,no,no
252,940,living comfortably,good,only fair,yes,no,yes,no,yes,no,no,no,no,no
253,945,living comfortably,good,only fair,yes,no,yes,no,no,no,no,no,no,no
254,850,finding it difficult to get by,only fair,good,no,no,no,no,no,no,yes,no,no,no
255,620367,finding it difficult to get by,good,good,yes,yes,no,no,no,no,yes,no,no,no
256,1358,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
257,926,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
258,6976,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
259,976,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
260,973,doing okay,good,only fair,yes,no,,,,,,,,
261,904,living comfortably,good,only fair,yes,no,no,no,yes,no,no,no,no,no
262,1384,just getting by,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
263,2386,doing okay,good,good,yes,no,no,yes,no,no,no,no,no,no
264,742,doing okay,only fair,only fair,yes,no,no,yes,no,no,no,no,no,no
265,1085,living comfortably,only fair,only fair,yes,no,yes,no,yes,no,no,no,no,no
266,1901,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
267,1123,finding it difficult to get by,poor,poor,no,yes,no,yes,yes,no,no,no,no,no
268,641,doing okay,good,only fair,no,no,no,yes,no,no,no,no,no,no
269,881,living comfortably,good,only fair,no,no,yes,no,yes,no,no,no,no,no
270,1263,just getting by,only fair,good,no,no,no,yes,yes,yes,no,no,no,no
271,754,living comfortably,only fair,good,yes,no,no,no,yes,no,no,no,no,no
272,1986,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
273,438013,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
274,973,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
276,2890,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
277,740,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
278,791,living comfortably,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
279,990,just getting by,only fair,poor,yes,yes,no,yes,no,no,no,no,no,no
280,1124,living comfortably,good,excellent,no,no,yes,no,no,no,no,no,no,no
281,691,doing okay,good,only fair,yes,yes,no,yes,yes,no,yes,no,no,no
282,1124,living comfortably,good,good,yes,no,yes,no,no,no,no,no,no,no
283,1088,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
284,676,doing okay,only fair,only fair,yes,no,yes,no,no,no,no,no,no,no
285,1191,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
286,1856,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
287,1288,doing okay,good,good,no,yes,yes,no,no,no,no,no,no,no
288,665,living comfortably,good,only fair,no,no,no,yes,no,no,no,no,no,no
289,689,living comfortably,good,poor,no,no,yes,no,no,no,no,no,no,no
290,1721,just getting by,only fair,only fair,yes,yes,no,yes,no,no,no,no,no,no
291,803,doing okay,good,only fair,yes,no,yes,no,no,no,no,no,no,no
292,611,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
293,1491,doing okay,only fair,good,no,no,no,no,yes,no,no,no,no,no
294,811,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
295,616,just getting by,good,good,yes,yes,no,no,no,no,no,no,yes,yes
296,956,doing okay,only fair,good,no,no,no,no,yes,no,no,no,no,no
297,11103,just getting by,good,good,yes,yes,yes,no,no,no,no,no,no,no
298,1694,just getting by,good,good,yes,yes,no,yes,yes,no,yes,no,yes,no
299,1108,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
300,1753,living comfortably,only fair,only fair,no,no,yes,no,no,no,no,no,no,no
301,1596,doing okay,good,good,yes,yes,no,no,yes,no,no,no,no,no
302,3038,doing okay,excellent,good,yes,no,no,no,yes,no,no,no,no,no
303,571,living comfortably,excellent,good,yes,no,no,no,yes,no,no,no,no,no
304,688,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
305,2856,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
306,705,doing okay,good,only fair,yes,yes,no,yes,yes,no,no,no,no,no
307,1889,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
308,2030,doing okay,poor,good,no,no,no,no,yes,no,no,no,no,no
309,11432,doing okay,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
310,2109,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
311,1088,doing okay,only fair,only fair,yes,no,no,no,yes,no,no,no,no,no
312,793,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
313,3353,doing okay,only fair,good,no,no,yes,no,no,no,no,no,no,no
314,794,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
315,1109,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
316,653,doing okay,only fair,only fair,yes,no,yes,no,yes,no,no,no,no,no
317,1153,living comfortably,good,only fair,no,no,yes,no,no,no,no,no,no,no
318,10688,living comfortably,good,good,yes,no,yes,no,yes,no,no,no,no,no
319,676,living comfortably,excellent,good,no,no,yes,no,no,no,no,no,no,no
320,830,finding it difficult to get by,poor,only fair,yes,no,no,no,no,no,yes,no,no,no
321,1158,just getting by,good,good,no,yes,yes,no,no,no,no,no,no,no
322,1512,just getting by,good,good,no,yes,no,yes,no,no,no,no,no,no
323,809,just getting by,poor,good,no,no,no,yes,no,no,no,no,no,no
324,944,living comfortably,good,only fair,no,yes,yes,no,no,no,no,no,no,no
325,1302,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
326,1200,just getting by,good,good,yes,no,no,no,no,no,no,yes,no,yes
327,736,living comfortably,only fair,excellent,yes,no,no,no,yes,no,no,no,no,no
328,1159,living comfortably,good,good,no,no,yes,no,no,no,no,no,no,no
329,702,doing okay,good,good,yes,no,yes,no,no,no,no,no,no,no
330,1155,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
331,1478,just getting by,only fair,only fair,no,yes,no,no,yes,no,no,no,no,no
332,1119,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
333,1761,just getting by,poor,poor,yes,yes,no,no,no,no,no,no,no,yes
334,533,doing okay,,,yes,no,,,,,,,,
335,581,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
336,1069,living comfortably,good,excellent,yes,yes,yes,no,no,no,no,no,no,no
337,860,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
338,967,living comfortably,good,good,yes,no,no,no,yes,no,no,no,no,no
339,2209,just getting by,good,good,yes,yes,no,yes,yes,no,no,no,no,no
340,1008,living comfortably,excellent,good,yes,no,yes,no,no,no,no,no,no,no
341,1482,just getting by,good,good,no,no,yes,yes,no,no,no,no,no,no
342,1409,living comfortably,only fair,only fair,no,no,yes,no,yes,no,yes,no,no,no
343,744,doing okay,only fair,only fair,yes,no,no,yes,yes,no,yes,no,no,no
344,864,just getting by,good,only fair,yes,yes,no,yes,no,no,no,no,no,no
345,925,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
346,722,doing okay,good,good,no,no,yes,no,no,no,no,no,no,no
347,1053,living comfortably,excellent,excellent,yes,no,no,no,yes,no,no,no,no,no
348,2806,finding it difficult to get by,good,only fair,yes,yes,no,yes,no,no,no,no,no,no
349,684,doing okay,good,only fair,no,no,yes,no,no,no,no,no,no,no
350,1035,living comfortably,excellent,good,yes,no,no,yes,no,no,no,no,no,no
351,793,living comfortably,good,good,no,no,no,no,yes,no,no,no,no,no
352,85144,living comfortably,excellent,excellent,no,no,yes,no,no,no,no,no,no,no
353,1284,living comfortably,good,only fair,no,no,no,no,yes,no,no,no,no,no
354,959,doing okay,good,good,no,no,no,no,yes,no,no,no,no,no
355,755,living comfortably,good,good,yes,yes,yes,no,no,no,no,no,no,no
356,995,doing okay,good,good,yes,no,no,no,yes,no,no,no,no,no
357,1330,living comfortably,poor,only fair,no,no,yes,no,no,no,no,no,no,no
358,2695,living comfortably,excellent,only fair,no,no,yes,no,no,no,no,no,no,no
359,983,doing okay,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
360,976,doing okay,good,only fair,no,no,no,yes,no,no,no,no,no,no
361,1163,living comfortably,good,good,no,no,,,,,,,,
362,1239,doing okay,good,only fair,no,no,no,no,yes,no,no,no,no,no
363,720,living comfortably,only fair,only fair,no,no,no,no,yes,no,no,no,no,no
364,756,living comfortably,excellent,only fair,no,no,yes,no,no,no,no,no,no,no
365,771,living comfortably,excellent,excellent,no,no,no,no,yes,no,no,no,no,no
366,772,just getting by,only fair,only fair,no,no,no,no,no,no,no,no,no,yes
367,947,just getting by,good,good,yes,yes,no,no,no,no,yes,no,yes,no
368,1422,just getting by,only fair,only fair,yes,yes,no,no,yes,no,no,no,no,no
