affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,young,some_affairs,sampid
7,female,32.0,7.0,yes,2,17,6,4,True,True,1
3,female,27.0,4.0,yes,3,17,1,5,True,True,1
0,female,32.0,4.0,yes,3,17,5,3,True,False,1
0,male,32.0,1.5,no,2,20,7,3,True,False,1
0,male,22.0,0.75,no,2,17,6,3,True,False,1
0,male,22.0,0.75,no,2,17,6,3,True,False,1
0,male,27.0,1.5,no,3,18,5,5,True,False,1
0,male,27.0,4.0,no,2,18,4,5,True,False,1
0,male,22.0,0.75,no,2,14,4,3,True,False,1
1,male,27.0,1.5,no,2,18,5,2,True,True,1
0,male,27.0,1.5,no,3,16,4,2,True,False,1
0,male,22.0,4.0,yes,4,16,5,5,True,False,1
0,male,32.0,10.0,yes,2,20,6,3,True,False,1
0,male,32.0,4.0,yes,5,14,3,5,True,False,1
0,male,32.0,10.0,yes,4,18,5,4,True,False,1
0,male,27.0,4.0,yes,4,14,5,3,True,False,1
0,male,22.0,4.0,yes,4,16,5,5,True,False,1
3,male,27.0,4.0,yes,2,18,7,2,True,True,1
1,male,22.0,1.5,yes,1,12,2,5,True,True,1
