facility_key,owner_key,phone,program_category,inspection_type,action_code,result_code,facility_name,site_address,city,state,zip,owner_name,nature_of_business,street_number,street_name,street_type,post_directional,program_category_description,inspection_date,inspection_desc,serial_num,action_desc,result_desc,violation_code,violation_desc,inspection_memo,not_masked,sampid,sampsize
127168,112719,5057121215.0,402,,11,3,twins a & v daycare center,1216 4th st sw,albuquerque,nm,87102,norma estrada-quezada,,1216,4th,st,sw,childcare,2020-12-17 00:00:00,covid response,danqcnfm3,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
47771,44953,5052965439.0,406,,11,3,blakes lotaburger 68,12345 central av ne ,albuquerque,nm,87123,blakes lotaburger llc,restaurant,12345,central,av,ne,food service establishment,2021-02-03 00:00:00,covid response,dakn5r9ao,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
119804,106966,5059229464.0,406,,11,3,buffalo wild wings 611,10015 coors blvd nw,albuquerque,nm,87114,blazin wings inc,,10015,coors,blvd,nw,food service establishment,2021-01-06 00:00:00,covid response,dawcqm4qa,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
1601,1425,,402,,11,3,teddy bear pre school,5820 2nd st nw,albuquerque,nm,87107,teddy bear pre school,child care,5820,2nd,st,nw,childcare,2021-01-28 00:00:00,covid response,da0m3u4vm,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
117280,13144,5052471543.0,406,,11,3,chilis grill and bar,1700 miles rd se,albuquerque,nm,87106,brinker restaurant corporation,,1700,miles,rd,se,food service establishment,2021-02-11 00:00:00,covid response,dave4djeu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
16971,15442,5052555454.0,406,,11,3,saggios,107 cornell dr se ,albuquerque,nm,87106,saggio's,restaurant,107,cornell,dr,se,food service establishment,2021-03-22 00:00:00,covid response,dazpy0mid,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
128253,113428,5052501293.0,406,,11,3,dunkin donuts,4208 central av sw,albuquerque,nm,87105,nmr central,,4208,central,av,sw,food service establishment,2020-11-02 00:00:00,covid response,dazfjudqr,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
89565,81238,5059341214.0,406,,11,3,la vida mocha,801 4th st nw,albuquerque,nm,87102,julieta chavez,mobile coffee unit,801,4th,st,nw,food service establishment,2021-01-20 00:00:00,covid response,dahutgh0k,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
122565,55557,5058562226.0,406,,11,3,texas roadhouse holding llc,10030 coors blvd nw,albuquerque,nm,87114,texas roadhouse holding llc,restaurant,10030,coors,blvd,nw,food service establishment,2021-01-22 00:00:00,covid response,dabqj1gxq,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
126869,112559,,606,,35,3,dollar tree,11110 lomas blvd ne,albuquerque,nm,87112,dollar tree stores,,11110,lomas,blvd,ne,retail - prepackage only,2021-01-25 00:00:00,covid response,dacxtbqxn,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
50611,47417,5058581257.0,606,,35,3,health haven,1619 san mateo ne ,albuquerque,nm,87110,health haven,retail health food store,1619,san mateo,,ne,retail - prepackage only,2021-03-15 00:00:00,covid response,daaoamb8y,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
19531,17905,3032159300.0,406,,11,3,einstein bros bagels 1193,2510 central av se ,albuquerque,nm,87106,einstein and noah corp,processor,2510,central,av,se,food service establishment,2021-01-25 00:00:00,covid response,dauwchimt,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
61237,56438,5057922305.0,406,,11,3,durans station,4201 menaul blvd ne ,albuquerque,nm,87110,smg llc,restaurant,4201,menaul,blvd,ne,food service establishment,2020-11-24 00:00:00,covid response,dafq0f5mo,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
127069,112675,5058507934.0,406,,11,3,neighbors,2101 vista oeste nw,albuquerque,nm,87120,acoma business holdings of nm,,2101,vista oeste,,nw,food service establishment,2020-11-14 00:00:00,covid response,da8zx6anc,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
123673,96483,5057969020.0,406,,11,3,freddys frozen custard,131 coors blvd nw,albuquerque,nm,87121,ffc new mexico llc,,131,coors,blvd,nw,food service establishment,2021-02-23 00:00:00,covid response,dalquu1uo,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
127364,112865,5055077029.0,406,,11,3,wei chuan dba moon tea,8001 wyoming blvd ne,albuquerque,nm,87113,aibing mai,,8001,wyoming,blvd,ne,food service establishment,2021-01-29 00:00:00,covid response,dalj0bzkg,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
120734,17448,5058399568.0,406,,35,3,bobs burgers,5400 central av se,albuquerque,nm,87108,shark enterprises inc,,5400,central,av,se,food service establishment,2020-11-04 00:00:00,covid response,dawccansd,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
81806,59475,5058978111.0,402,,11,3,kinder quest inc,4598 paradise blvd nw ,albuquerque,nm,87114,kinder quest inc,school,4598,paradise,blvd,nw,childcare,2021-03-15 00:00:00,covid response,da03tlqvu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
126686,112463,5055085888.0,607,,35,3,dallas corner store,7720 central av se,albuquerque,nm,87108-2241,mohammad kahalah,,7720,central,av,se,retail - self service & prepackage foods,2020-12-30 00:00:00,covid response,dahhdrdhq,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
6723,5761,,406,,11,3,el sabor de juarez,3527 gibson blvd se ,albuquerque,nm,87106,jesus t. mata/sarah jaramillo,restaurant,3527,gibson,blvd,se,food service establishment,2020-11-25 00:00:00,covid response,daomtmbyu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
127173,112723,5054530590.0,606,,35,3,snack king concessions,6600 menaul blvd ne ste 6530,albuquerque,nm,87110,eagle sons enterprises inc,,6600,menaul,blvd,ne,retail - prepackage only,2021-02-03 00:00:00,covid response,da1e7wdn3,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
114242,102208,5054408070.0,406,,6,2,tia bs la wafflearia,3710 campus av ne,albuquerque,nm,87106,la wafflearia inc,,3710,campus,av,ne,food service establishment,2021-01-27 00:00:00,covid response,da4pg4ali,unsatisfactory,not in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
125633,111900,5058819565.0,402,,35,3,noahs ark childrens academy,4001 montgomery blvd ne,albuquerque,nm,87109,noahs ark childerns academy,,4001,montgomery,blvd,ne,childcare,2020-12-11 00:00:00,covid response,da9wix0xq,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
99839,48823,7573215000.0,606,,11,3,dollar tree 4752,11201 montgomery blvd ne ste b,albuquerque,nm,87111,dollar tree stores inc,,11201,montgomery,blvd,ne,retail - prepackage only,2020-12-17 00:00:00,covid response,da4ycgi0z,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
127933,113171,,607,,11,3,maverik country store,5001 jefferson st ne,albuquerque,nm,87109,maverik inc,,5001,jefferson,st,ne,retail - self service & prepackage foods,2020-12-11 00:00:00,covid response,dafnmv10y,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
106997,95992,5058211437.0,406,,11,3,squeezed juice bar,7900 san pedro dr ne a12,albuquerque,nm,87109,squeezed llc,,7900,san pedro,dr,ne,food service establishment,2020-11-02 00:00:00,covid response,dasec6jpf,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
50270,2546,5052691356.0,406,,11,3,golden pride chicken,10101 central av ne ,albuquerque,nm,87123,golden pride chicken,restaurant,10101,central,av,ne,food service establishment,2021-02-17 00:00:00,covid response,dap9tsr0z,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
117855,105326,,607,,35,3,speedway 8699,4720 tramway blvd ne,albuquerque,nm,87123,western refining retail llc,,4720,tramway,blvd,ne,retail - self service & prepackage foods,2021-01-13 00:00:00,covid response,da94m0ufj,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
111359,99444,8708816691.0,606,,11,3,murphy express #8725,600 san mateo blvd se,albuquerque,nm,87108,murphy oil usa inc,,600,san mateo,blvd,se,retail - prepackage only,2021-01-26 00:00:00,covid response,dapnptpnu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
127224,112755,5055391203.0,606,,35,3,family dollar,1400 gibson blvd se,albuquerque,nm,87106,family dollar stores of nm,,1400,gibson,blvd,se,retail - prepackage only,2021-02-18 00:00:00,covid response,daez8lvmf,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
67060,61674,6158554785.0,601,,11,3,dollar general store 10502,201 montano wy nw ,albuquerque,nm,87107,dolgen corp inc,retail sales,201,montano,wy,nw,retail -grocery,2020-12-09 00:00:00,covid response,dawm2gvt6,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
115540,103319,5058312111.0,406,,11,3,bobs burgers one inc,4506 central av sw,albuquerque,nm,87105,bobs burgers one inc,,4506,central,av,sw,food service establishment,2021-03-05 00:00:00,covid response,danwv2q4z,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
128349,113519,5059102941.0,403,,11,3,the pop co,8338 comanche rd ne,albuquerque,nm,87111,the pop co,,8338,comanche,rd,ne,bakery,2021-01-11 00:00:00,covid response,daf2v6ar9,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,0,50
105262,94575,,406,,35,3,pollito con papas,6105 gibson blvd se,albuquerque,nm,87108,monica e coronado,,6105,gibson,blvd,se,food service establishment,2021-01-22 00:00:00,covid response,dai3vncjn,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,0,50
107757,96696,5052472503.0,406,,11,3,pericos de albuquerque,109 yale se,albuquerque,nm,87106,pericos de albuquerque,,109,yale,,se,food service establishment,2020-11-03 00:00:00,covid response,dar8ru8oc,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
128004,113218,7199552055.0,406,,11,3,wendys,3340 coors blvd nw,albuquerque,nm,87120,wen new mexico llc,,3340,coors,blvd,nw,food service establishment,2020-12-08 00:00:00,covid response,dacosz920,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
128157,113340,5053667248.0,1002,,11,3,la sirenita llc,1603 4th st nw,albuquerque,nm,87102,la sirenita llc/angelica castrejon,,1603,4th,st,nw,mobile food unit,2021-02-26 00:00:00,covid response,dauvlci1i,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
126217,112194,5623963143.0,607,,11,3,a and m chevron,1301 broadway blvd se,albuquerque,nm,87102,nouraldin bartaa,,1301,broadway,blvd,se,retail - self service & prepackage foods,2021-01-27 00:00:00,covid response,dauggj6vd,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
127282,112802,5052344255.0,1002,,11,3,gods warehouse,8011 central av ne,albuquerque,nm,87108,charles aragon,,8011,central,av,ne,mobile food unit,2020-12-28 00:00:00,covid response,da8dsh5vo,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
128052,113258,5058312600.0,406,,35,3,cocina azul,4243 montgomery blvd ne,albuquerque,nm,87109,very delish inc,,4243,montgomery,blvd,ne,food service establishment,2021-02-25 00:00:00,covid response,dabb32r75,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
97173,87697,5052698528.0,406,,11,3,holy cow llc,700 central av se,albuquerque,nm,87102,holy cow llc,,700,central,av,se,food service establishment,2021-02-02 00:00:00,covid response,daong2qgx,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
127775,113087,5053237272.0,406,,11,3,papa johns pizza,9500 montgomery blvd ne unit 11,albuquerque,nm,87111,working better together llc,,9500,montgomery,blvd,ne,food service establishment,2021-02-24 00:00:00,covid response,da0129369,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
125884,112019,5052002344.0,406,,11,3,canteen llc,417 tramway blvd ne ste 1,albuquerque,nm,87123,canteen llc,,417,tramway,blvd,ne,food service establishment,2021-01-11 00:00:00,covid response,da3cus611,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
75683,1272,,601,,11,3,albertsons 905,2910 juan tabo blvd ne ,albuquerque,nm,87112,albertsons,groc/bkry/rest,2910,juan tabo,blvd,ne,retail -grocery,2021-03-05 00:00:00,covid response,dabzqm5de,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
47781,44953,5058211958.0,603,,11,3,blakes lotaburger,3205 richmond dr ne ,albuquerque,nm,87107,blakes lotaburger llc,restaurant,3205,richmond,dr,ne,warehouse,2021-03-01 00:00:00,covid response,da2xwuohz,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
119619,106810,,607,,11,3,7 eleven #739,1517 gibson blvd se,albuquerque,nm,87106,scs beverage inc,,1517,gibson,blvd,se,retail - self service & prepackage foods,2021-02-01 00:00:00,covid response,dabyjvfbs,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
4290,3537,5052667401.0,609,,11,3,smiths 446,6001 lomas blvd ne ,albuquerque,nm,87110,smiths food and drug centers inc,bkry/groc/rest,6001,lomas,blvd,ne,retail - meat/seafood,2020-11-13 00:00:00,covid response,dabrtgdqa,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
88972,80756,5052431118.0,408,,11,3,robert f kennedy charter school,4300 blake rd sw ,albuquerque,nm,87121,robert f kennedy charter schoo,school kitchen,4300,blake,rd,sw,school,2021-01-12 00:00:00,covid response,daj7oktwu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
45108,11416,5052391181.0,406,,35,3,jimmys cafe,7007 jefferson ne ste f,albuquerque,nm,87110,reynolds enterprise,restaurant,7007,jefferson,,ne,food service establishment,2021-03-10 00:00:00,covid response,dajcmo131,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
66114,60796,5052431440.0,406,,11,3,standard diner,320 central av se ,albuquerque,nm,87102,digregory brothers inc,restaurant,320,central,av,se,food service establishment,2020-12-15 00:00:00,covid response,daxm99jl0,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
126417,112290,5058816549.0,406,,11,3,schlotzskys 2066,6001 san mateo blvd ne g-5,albuquerque,nm,87109,food franchise corp of america llc,,6001,san mateo,blvd,ne,food service establishment,2021-03-01 00:00:00,covid response,da0oiskaw,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
11349,10112,5058831919.0,406,,11,3,teriyaki chicken bowl 5,4700 menaul blvd ne ,albuquerque,nm,87110,twin dragon,restaurant,4700,menaul,blvd,ne,food service establishment,2020-11-19 00:00:00,covid response,daauguwr6,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
76262,69738,5053438500.0,406,,11,3,twin peaks restaurant,4441 the 25 way ne ,albuquerque,nm,87109,tp franchise albuquerque llc,restaurant and bar,4441,the 25 way,,ne,food service establishment,2021-02-04 00:00:00,covid response,dafamocle,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
5500,4657,5052934297.0,406,,35,3,china inn,9500 montgomery blvd ne ste 4,albuquerque,nm,87111,china inn,restaurant,9500,montgomery,blvd,ne,food service establishment,2021-03-15 00:00:00,covid response,daw22yq3k,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
118684,106006,,411,,11,3,bow and arrow brewing co,602 mcknight av nw,albuquerque,nm,87102,bow and arrow brewing co,,602,mcknight,av,nw,food processor ii,2020-12-21 00:00:00,covid response,da2ghupjl,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
127869,113136,5052479843.0,606,,11,3,quick track 85,1720 central ne,albuquerque,nm,87106,sherpa brothers llc,,1720,central,,ne,retail - prepackage only,2020-12-28 00:00:00,covid response,daoyfincu,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
128333,113503,5057051601.0,406,,11,3,tiny grocer abq,422 san felipe st nw ste a,albuquerque,nm,87104,old town herbal llc,,422,san felipe,st,nw,food service establishment,2020-11-10 00:00:00,covid response,daarpqbqc,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
127977,113198,5058994180.0,407,,11,3,chuze fitness,9350 eagle ranch rd nw,albuquerque,nm,87114,rachas inc,,9350,eagle ranch,rd,nw,limited menu,2021-02-12 00:00:00,covid response,daimekqgb,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
100437,90472,5058966764.0,402,,11,3,la esperanza child development center llc,5740 night whispers rd nw ste 200,albuquerque,nm,87114,la esperanza child development center llc,,5740,night whispers,rd,nw,childcare,2021-01-22 00:00:00,covid response,dacg0sk8v,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
125616,111887,6143182476.0,406,,11,3,chipotle mexican grill,3600 coors blvd nw a-800,albuquerque,nm,87120,chipotle mexican grill,,3600,coors,blvd,nw,food service establishment,2021-02-05 00:00:00,covid response,daljukxwr,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
64388,21242,2063188705.0,406,,35,3,starbucks coffee 9764,6828 san mateo blvd ne ,albuquerque,nm,87109,starbucks corp,restaurant,6828,san mateo,blvd,ne,food service establishment,2021-03-08 00:00:00,covid response,dapveuzr3,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
128145,113332,5103169909.0,1002,,11,3,catalyst coffee co,6320 zuni rd se,albuquerque,nm,87108,michael breden,,6320,zuni,rd,se,mobile food unit,2020-12-11 00:00:00,covid response,daipqsqlo,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
4290,3537,5052667401.0,608,,11,3,smiths 446,6001 lomas blvd ne ,albuquerque,nm,87110,smiths food and drug centers inc,bkry/groc/rest,6001,lomas,blvd,ne,retail - deli,2020-11-13 00:00:00,covid response,day9w5l2z,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
358,75,,603,,11,3,b & h wholesale,1828 8th st nw ,albuquerque,nm,87102,b & h company inc,wholesale,1828,8th,st,nw,warehouse,2021-02-09 00:00:00,covid response,dazqwc0ha,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
4292,3537,,601,,11,3,smiths food and drug centers inc,320 yale blvd se ,albuquerque,nm,87106,smiths food and drug centers inc,bkry/groc/rest,320,yale,blvd,se,retail -grocery,2020-11-12 00:00:00,covid response,dacgjjnwa,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
128011,113225,5058849495.0,406,,11,3,wendys,6204 san mateo blvd ne,albuquerque,nm,87109,wen new mexico llc,,6204,san mateo,blvd,ne,food service establishment,2020-11-04 00:00:00,covid response,dad0yoa0b,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
14156,12776,5058847484.0,406,,11,3,comida buena,2200 sunport blvd se ,albuquerque,nm,87106,fresquez concessions inc,cantina/bar,2200,sunport,blvd,se,food service establishment,2020-11-17 00:00:00,covid response,daeztqcfv,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
83906,76426,7703267022.0,406,,11,3,waffle house,2250 yale av se ,albuquerque,nm,87106,donald love,restaurant,2250,yale,av,se,food service establishment,2021-01-25 00:00:00,covid response,dab9tkgi6,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
122971,109714,5052429661.0,406,,11,3,la familiar de patty,1611 4th st nw,albuquerque,nm,87102,la familiar de patty,,1611,4th,st,nw,food service establishment,2021-01-22 00:00:00,covid response,dahxkhcgs,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
11118,9889,5058816788.0,406,,11,3,sonic drive in,5000 san mateo blvd ne ,albuquerque,nm,87109,bobby j merritt,restaurant,5000,san mateo,blvd,ne,food service establishment,2021-01-15 00:00:00,covid response,dacrunc70,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
127173,112723,5054530590.0,606,,35,3,snack king concessions,6600 menaul blvd ne ste 6530,albuquerque,nm,87110,eagle sons enterprises inc,,6600,menaul,blvd,ne,retail - prepackage only,2021-02-03 00:00:00,covid response,da1e7wdn3,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
78481,71676,5058838530.0,402,,11,3,alta monte child devel center inc,3305 alta monte av ne ,albuquerque,nm,87107,alta monte child devel center,child care,3305,alta monte,av,ne,childcare,2021-02-05 00:00:00,covid response,dag0dczgs,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
126611,112423,5052902559.0,406,,11,3,slice and dice pizzeria llc,5720 mcmahon blvd nw,albuquerque,nm,87114,slice and dice pizzeria llc,,5720,mcmahon,blvd,nw,food service establishment,2021-02-23 00:00:00,covid response,da0evje0r,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
117005,104551,5053410138.0,406,,35,3,carls jr #7607,800 b broadway blvd ne,albuquerque,nm,87102,wiles restaurants inc,,800,broadway,blvd,ne,food service establishment,2021-03-04 00:00:00,covid response,dagnbe39w,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
117436,104945,,406,,11,3,pinon coffee house,4545 alameda blvd ne ste i,albuquerque,nm,87113,pinon coffee llc,,4545,alameda,blvd,ne,food service establishment,2021-02-26 00:00:00,covid response,darpegclz,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
63672,58615,5052688777.0,406,,11,3,chopstix,6001 l lomas blvd ne ,albuquerque,nm,87110,chopstix,restaurant,6001,lomas,blvd,ne,food service establishment,2020-11-13 00:00:00,covid response,dawlmvrag,approved,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,False,1,50
117316,104837,5058504259.0,406,,35,3,urban hotdog company,10250 cottonwood park dr nw,albuquerque,nm,87114,uhdp llc,,10250,cottonwood park,dr,nw,food service establishment,2020-12-11 00:00:00,covid response,dafffyat2,csp corrected on site,in compliance,04c210,facility is following current covid safe practices for employee mask use?,,True,1,50
